replicate,task_id,repository,call_seq,rank,similarity,note_id,origin_repo,cross_repo,note_question_overlap,content_snippet
pilot30,task-6905333b74f22949d97ba9a4,simple-login/app,2,1,60,ec3b1bd4-ad12-42e2-a30e-9b3f6f9f877a,simple-login/app,False,0.017241379310344827,"SimpleLogin is a Flask-based email masking/alias service. Main processes: 1) server.py (Web UI via Flask), 2) email_handler.py (SMTP server via aiosmtpd), 3) cr"
pilot30,task-6905333b74f22949d97ba9a4,simple-login/app,2,2,62,65a86b97-ab8d-4fbf-87fe-58e3a536cc9b,simple-login/app,False,0.08,"Startup output in SimpleLogin: When config module loads, it prints (to stdout): 1) "">>> URL: <URL>"" (from config.py line ~60), 2) ""MAX_NB_EMAIL_FREE_PLAN is not"
pilot30,task-6905333b74f22949d97ba9a4,simple-login/app,2,3,53,886b88d9-ff04-4c64-86f0-6504ebf9cc04,,False,0.04395604395604396,Production deployment: The Dockerfile exposes port 7777 and runs `gunicorn wsgi:app -b 0.0.0.0:7777 -w 2 --timeout 15`. wsgi.py does `from server import create_
pilot30,task-6905333b74f22949d97ba9a4,simple-login/app,2,4,56,d4821e62-b9ae-4449-921b-6eafafb26ea0,simple-login/app,False,0.06140350877192982,"Background processes in SimpleLogin: 1) email_handler.py runs aiosmtpd SMTP server on port 20381 by default, receives and forwards emails. 2) job_runner.py runs"
pilot30,task-6905333b74f22949d97ba9a4,simple-login/app,2,5,49,c3278c83-ca08-4455-974f-84d6be6e5701,simple-login/app,False,0.03669724770642202,User identity in SimpleLogin: Web routes use Flask-Login with login_manager.user_loader that queries User.get_by(alternative_id=). The alternative_id is stored 
pilot30,task-6905333b74f22949d97ba9a5,simple-login/app,1,1,45,ec3b1bd4-ad12-42e2-a30e-9b3f6f9f877a,simple-login/app,False,0.024390243902439025,"SimpleLogin is a Flask-based email masking/alias service. Main processes: 1) server.py (Web UI via Flask), 2) email_handler.py (SMTP server via aiosmtpd), 3) cr"
pilot30,task-6905333b74f22949d97ba9a5,simple-login/app,1,2,42,c3278c83-ca08-4455-974f-84d6be6e5701,simple-login/app,False,0.03418803418803419,User identity in SimpleLogin: Web routes use Flask-Login with login_manager.user_loader that queries User.get_by(alternative_id=). The alternative_id is stored 
pilot30,task-6905333b74f22949d97ba9a5,simple-login/app,1,3,39,65a86b97-ab8d-4fbf-87fe-58e3a536cc9b,simple-login/app,False,0.017543859649122806,"Startup output in SimpleLogin: When config module loads, it prints (to stdout): 1) "">>> URL: <URL>"" (from config.py line ~60), 2) ""MAX_NB_EMAIL_FREE_PLAN is not"
pilot30,task-6905333b74f22949d97ba9a5,simple-login/app,1,4,38,b5b48ca3-5632-4cad-9993-5696ff1ea222,simple-login/app,False,0.046153846153846156,"Request flow in SimpleLogin: 1) Flask app created in server.py create_app(). 2) Routes registered via blueprints: auth_bp (/auth), dashboard_bp (/dashboard), ap"
pilot30,task-6905333b74f22949d97ba9a5,simple-login/app,1,5,37,d4821e62-b9ae-4449-921b-6eafafb26ea0,simple-login/app,False,0.023809523809523808,"Background processes in SimpleLogin: 1) email_handler.py runs aiosmtpd SMTP server on port 20381 by default, receives and forwards emails. 2) job_runner.py runs"
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,1,1,54,ccce6d91-df6a-45ca-b348-8fddd58f1e1c,simple-login/app,False,0.07103825136612021,"In SimpleLogin, custom alias creation is handled by /api/v2/alias/custom/new and /api/v3/alias/custom/new in app/api/views/new_custom_alias.py. The signed suffi"
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,1,2,48,d4821e62-b9ae-4449-921b-6eafafb26ea0,simple-login/app,False,0.049723756906077346,"Background processes in SimpleLogin: 1) email_handler.py runs aiosmtpd SMTP server on port 20381 by default, receives and forwards emails. 2) job_runner.py runs"
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,1,3,53,ec3b1bd4-ad12-42e2-a30e-9b3f6f9f877a,simple-login/app,False,0.0625,"SimpleLogin is a Flask-based email masking/alias service. Main processes: 1) server.py (Web UI via Flask), 2) email_handler.py (SMTP server via aiosmtpd), 3) cr"
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,1,4,48,c3278c83-ca08-4455-974f-84d6be6e5701,simple-login/app,False,0.04,User identity in SimpleLogin: Web routes use Flask-Login with login_manager.user_loader that queries User.get_by(alternative_id=). The alternative_id is stored 
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,1,5,38,b5b48ca3-5632-4cad-9993-5696ff1ea222,simple-login/app,False,0.03684210526315789,"Request flow in SimpleLogin: 1) Flask app created in server.py create_app(). 2) Routes registered via blueprints: auth_bp (/auth), dashboard_bp (/dashboard), ap"
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,2,1,57,c8357fd4-d3c8-46ce-95b6-e5f9960c08ac,simple-login/app,False,0.0728476821192053,"SimpleLogin DB: On a fresh PostgreSQL database, `alembic upgrade head` creates 77 total tables (76 business tables + 1 alembic_version). The last table created "
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,2,2,52,1a5050f3-2c8f-4d16-86e3-5a31dca3125e,simple-login/app,False,0.034013605442176874,"SimpleLogin email handler: Uses aiosmtpd Controller on 0.0.0.0 with default port 20381. Customizable via -p flag. On startup: logs INFO ""Listen for port <port>"""
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,2,3,54,d4821e62-b9ae-4449-921b-6eafafb26ea0,simple-login/app,False,0.049723756906077346,"Background processes in SimpleLogin: 1) email_handler.py runs aiosmtpd SMTP server on port 20381 by default, receives and forwards emails. 2) job_runner.py runs"
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,2,4,51,ec3b1bd4-ad12-42e2-a30e-9b3f6f9f877a,simple-login/app,False,0.0625,"SimpleLogin is a Flask-based email masking/alias service. Main processes: 1) server.py (Web UI via Flask), 2) email_handler.py (SMTP server via aiosmtpd), 3) cr"
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,2,5,45,16eed9bc-cd5b-4a78-ba3f-a1585fbe1b6f,simple-login/app,False,0.08904109589041095,"SimpleLogin registration/login: Register creates user with activated=False (default) and notification=True (default). When trying to login before activation, AP"
pilot30,task-6905333b74f22949d97ba9a7,simple-login/app,1,1,53,c8357fd4-d3c8-46ce-95b6-e5f9960c08ac,simple-login/app,False,0.008547008547008548,"SimpleLogin DB: On a fresh PostgreSQL database, `alembic upgrade head` creates 77 total tables (76 business tables + 1 alembic_version). The last table created "
pilot30,task-6905333b74f22949d97ba9a7,simple-login/app,1,2,50,b5c51b9b-df93-4ec0-8aca-c5805ea2ef98,simple-login/app,False,0.045454545454545456,"SimpleLogin web server startup: Flask dev server prints config output first (>>> URL: <url>, >>> init logging <<<), then show_server_banner prints "" * Serving F"
pilot30,task-6905333b74f22949d97ba9a7,simple-login/app,1,3,58,ec3b1bd4-ad12-42e2-a30e-9b3f6f9f877a,simple-login/app,False,0.051470588235294115,"SimpleLogin is a Flask-based email masking/alias service. Main processes: 1) server.py (Web UI via Flask), 2) email_handler.py (SMTP server via aiosmtpd), 3) cr"
pilot30,task-6905333b74f22949d97ba9a7,simple-login/app,1,4,50,1a5050f3-2c8f-4d16-86e3-5a31dca3125e,simple-login/app,False,0.018867924528301886,"SimpleLogin email handler: Uses aiosmtpd Controller on 0.0.0.0 with default port 20381. Customizable via -p flag. On startup: logs INFO ""Listen for port <port>"""
pilot30,task-6905333b74f22949d97ba9a7,simple-login/app,1,5,55,d4821e62-b9ae-4449-921b-6eafafb26ea0,simple-login/app,False,0.03546099290780142,"Background processes in SimpleLogin: 1) email_handler.py runs aiosmtpd SMTP server on port 20381 by default, receives and forwards emails. 2) job_runner.py runs"
pilot30,task-6905333b74f22949d97ba9a8,simple-login/app,1,1,69,b5c51b9b-df93-4ec0-8aca-c5805ea2ef98,simple-login/app,False,0.07142857142857142,"SimpleLogin web server startup: Flask dev server prints config output first (>>> URL: <url>, >>> init logging <<<), then show_server_banner prints "" * Serving F"
pilot30,task-6905333b74f22949d97ba9a8,simple-login/app,1,2,72,65a86b97-ab8d-4fbf-87fe-58e3a536cc9b,simple-login/app,False,0.056818181818181816,"Startup output in SimpleLogin: When config module loads, it prints (to stdout): 1) "">>> URL: <URL>"" (from config.py line ~60), 2) ""MAX_NB_EMAIL_FREE_PLAN is not"
pilot30,task-6905333b74f22949d97ba9a8,simple-login/app,1,3,67,ec3b1bd4-ad12-42e2-a30e-9b3f6f9f877a,simple-login/app,False,0.05102040816326531,"SimpleLogin is a Flask-based email masking/alias service. Main processes: 1) server.py (Web UI via Flask), 2) email_handler.py (SMTP server via aiosmtpd), 3) cr"
pilot30,task-6905333b74f22949d97ba9a8,simple-login/app,1,4,63,b5b48ca3-5632-4cad-9993-5696ff1ea222,simple-login/app,False,0.046296296296296294,"Request flow in SimpleLogin: 1) Flask app created in server.py create_app(). 2) Routes registered via blueprints: auth_bp (/auth), dashboard_bp (/dashboard), ap"
pilot30,task-6905333b74f22949d97ba9a8,simple-login/app,1,5,55,886b88d9-ff04-4c64-86f0-6504ebf9cc04,,False,0.06666666666666667,Production deployment: The Dockerfile exposes port 7777 and runs `gunicorn wsgi:app -b 0.0.0.0:7777 -w 2 --timeout 15`. wsgi.py does `from server import create_
pilot30,task-6905333b74f22949d97ba9a9,simple-login/app,1,1,66,ec3b1bd4-ad12-42e2-a30e-9b3f6f9f877a,simple-login/app,False,0.03125,"SimpleLogin is a Flask-based email masking/alias service. Main processes: 1) server.py (Web UI via Flask), 2) email_handler.py (SMTP server via aiosmtpd), 3) cr"
pilot30,task-6905333b74f22949d97ba9a9,simple-login/app,1,2,63,a3b66d8b-6b63-407f-bde7-aeb5a746afc2,simple-login/app,False,0.038461538461538464,"SimpleLogin alias limits: MAX_NB_EMAIL_FREE_PLAN defaults to 5 if not set. Configured via environment variable, read at module import time. The /api/user_info e"
pilot30,task-6905333b74f22949d97ba9a9,simple-login/app,1,3,58,557b0734-48ca-4c03-8882-0ec58fc3fbdb,simple-login/app,False,0.017391304347826087,"Alias API responses: On success, /api/v2/alias/custom/new and /api/v3/alias/custom/new return HTTP 201 with JSON containing: alias (email string), id, email, cr"
pilot30,task-6905333b74f22949d97ba9a9,simple-login/app,1,4,59,ccce6d91-df6a-45ca-b348-8fddd58f1e1c,simple-login/app,False,0.029197080291970802,"In SimpleLogin, custom alias creation is handled by /api/v2/alias/custom/new and /api/v3/alias/custom/new in app/api/views/new_custom_alias.py. The signed suffi"
pilot30,task-6905333b74f22949d97ba9a9,simple-login/app,1,5,60,7c2ddc9b-d263-4eff-ba48-441a92086a98,simple-login/app,False,0.008771929824561403,Bounce/failure address in SimpleLogin: Uses VERP (Variable Envelope Return Path). Format: sl.{base32-encoded-payload}.{base32-encoded-sig}@{domain}. Contains [v
pilot30,task-6905333b74f22949d97ba9a9,simple-login/app,2,1,63,ec3b1bd4-ad12-42e2-a30e-9b3f6f9f877a,simple-login/app,False,0.03125,"SimpleLogin is a Flask-based email masking/alias service. Main processes: 1) server.py (Web UI via Flask), 2) email_handler.py (SMTP server via aiosmtpd), 3) cr"
